Professor ID,Professor Name,Profile URL,Course,Review Date,Review
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,"She is not clear about the topic, and sometimes it's hard to hear her. She mostly reads from slides or textbooks. She is unprofessional, gives work at the last minute, doesn't tell you about tests until the day before, and gets angry if you ask her a question in class. She doesn't answer any emails at all; it's absurd. But she is an easy grader, so"
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,"If you are an econ major who cares about learning econ DO NOT take. She doesn't teach very well. It's an easy class since it's online. She does everything so last minute, but the work isn't the worst. She also never answers emails and ends the Zoom class before you can ask questions. She randomly will call on people to read the slides or textbook."
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,"Be careful when you take this class. She tells you about tests the day before and gives long assignments that are due the same day. Doesn't review the hw/test and she doesn't teach anything. You have to review yourself She DOES NOT answer any emails, good luck trying to reach her out of class. But with the right tools, you can pass the class ;)"
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,"My class was in person, tests were in person, done on your laptop. You can't really understand her at times because of an accent. Reads from the textbook (which you have access to) the whole class so i don't see the point of mandatory attendance. Class has been cancelled more times than i can count. Pretty easy A, but you don't learn anything."
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,"The best professor you can get. Because of her I passed both Econ 101 & Econ 102 class with ""A"". The first mid-term would be on paper but the second and the Final would be online. She gives massive curve on the exams. I got above 90 on all of em. Attendance are mandatory. She will save your time and GPA. I'll take her any given day if available."
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,She is the best. If you attend all classes and listen to her lectures you can easily pass. She makes everything very easy to understand.
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,"Take her!! She is very caring and understanding. If you attend all the classes, you can definitely pass."
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,"She likes to do popcorn reading, so expect to be called on to read. You need access to the textbook to read or she'll be disappointed and your participation grade will not be high. Volunteer to answer when you can, that way, she won't call on you for the hard questions. Do all the (10-12) hw, due midnight same day T_T. Don't slack, GL with project."
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,"One of the best professors in QC. I took her for Econ382 the headest class for Econ majors. She made it seem too easy. You can't miss any class. If you come to class every day and do the work you don't have to worry. she also teaches 201,202 etc."
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,"Nice & accommodating attitude. HOWEVER, incoherent teaching, self-contradictory communication, HW ($128) due before material taught, unnecessary obsession with attendance. subpar instructor adds extra stress."
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,"Took her for 201 and 382. Attendance is super important to her- don't miss a single class. If you truly want to learn, she's not for you. Really bad explainer and lecturer. However all exams are in person on laptops- only reason everyone takes her. Cengage HW for 382 is extremely time consuming. Got an A in both but didn't learn a single thing."
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,"For this class participation and attendance is very important. She teaches pretty fast so try to keep up as best as possible with the power points and textbook. She is pretty intimidating at first but really kind if you work with her and show her you are trying. 3 exams, Online homework, and a final project with power point presentation."
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,"Professor Asif is super sweet when you get to know her, however, for the majority of this class I had to teach myself everything. Sometimes I felt as if she goes too fast with her lessons, so I would teach myself everything at home. I personally dont really like ECON, and i hate math so the class was kinda hard, but the professor is nice."
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,"Great Class to take. Econ 382 is a really hard class. One of the hardest Econ classes ever. However, the professor makes it really simple and makes sure every student understands the material. You're going to have to work little because it is a super hard class, but the professor makes it easy for you to get a good grade."
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,"Shes really nice, smooth and caring Professor. Makes lectures very clear and easy to remember on the tests."
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,Professor Asif is amazing and makes learning fun! I literally am done with school and I am watching YouTube videos on econometrics just to learn more. She really puts things in perspective for relatable scenarios. I was so blessed to have her as my last professor before graduating. Do the work and you will succeed. Watch Brandon Folz YouTube.
2330644,Salma Asif,https://www.ratemyprofessors.com/professor/2330644,Unknown Course,,Very knowledgeable and fair professor. I enjoyed her class structure. She treats you like an adult and gives you ample opportunity to thrive. There is almost no way to fail this class. Just have to work a bit to get a good grade
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,"Took this class because people said, “Take him if you're good at Math.” Bad advice. No resources, no reviews, just textbook problems that didn't match the midterm or final, the only things you're graded on. Lectures were confusing. You will pass somehow, but overall very confusing. Somehow, he's better than most at QC, but still frustrating."
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,"Professor Goswami is a very good professor. He knows exactly where students tend to struggle and is able to guide them and clearly explain algorithms. However, his exams are difficult, but he'll curve the grades based on your performance, as long as you put in the effort and show improvement, he'll notice your hard work and won't easily fail you."
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,"dude's a Math Jedi. awesome professor, but hardest class I've ever taken. absolutely recommend if you're solid in math, but even if you're not good at math, his lectures are phenomenal. you'll be putting in WORK though, like WORK work."
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,"Taking CS328 Algorithms for Big Data. I don't recommend anyone take this class unless your a masochist, way too difficult for an undergrad class. A lot probability and you need to put in way too much time outside the class to learn the material and even then you still wont understand it. Prof is fine. 2 tests worth 40% each and 20% notes"
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,"If you really want to learn then take him. He is an amazing professor who is extremely intelligent, knows what he is teaching and generous with his time. He holds a lot of office hour. Even though your grade depends on just two exams but his curve is crazy. He really cares about his students, and understanding the concepts."
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,He is test heavy and uninterested in actual learning. He is unnecessarily rude to speak with and make you feel terrible when concepts are unclear. Would never recommend him.
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,He grades purely on his exams. No mandatory HW but if you want to do well I guess you should do it. The average of the midterm for our class was 23/100. And we only found out about this when we were a month away from finals. I didn't want to risk a D or a C- since I need a minimum of a C so I dropped him. If you are good in math take him. If not X
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,"He teaches well and is very knowledgeable about the topic, but he doesn't know how to assess students properly on his midterm and final. The average was in the 20's, and that is not the students' fault, but rather the instructor's fault. He curves, but his grading scheme he came up with his TA was brutal. Only take if youre good at math and proofs"
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,He's nice enough and generally good at explaining concepts but if you aren't a good test taker this class will be STRESSFUL. Slow grader with unclear grading criteria (midterm average was in the 20s and he refused to say what the curve would be). Not the worst option for 323 but proceed with caution.
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,"Brilliant and kind professor, but CS381 Big Data is extremely Math heavy. If you don't like advanced probability, proofs and theory then avoid this class. Walked into this class with a 3.7 GPA, never worried about failing a class until I took this one. Goswami is a great teacher, but labeling this class as CS is misleading. Wish I'd skipped this"
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,"He provides a hard but interesting class. Make sure you read and understand all the homework he assigns, or you won't pass. If you are looking to get involved in research or cutting edge techniques this is the professor to take. He offers chances for his students to get involved in his or his other students research."
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,"He is a really good professor. But the class itself is extremely difficult, and theoretical. You'll need to spend a lot of time understanding the algorithms and doing examples, or else you'll fail. No doubt."
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,"After taking his 323 and then Algo. for big data class. I can confidently say that this man can slap me and I would kindly ask for another, in hopes that his big brain IQ rubs off on me because holy **** was his class difficulty level was to the moon. I learned so much in his two classes that his words are like the word of god to me. Take his class"
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,One of the best professor in queens college. Explanation of Algorithms is the best. He is very passionate and care for his students.
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,"He is God to me. Very helpful when it comes to teaching and helping the student. His level of intelligence is to the moon. Love his lectures and his way of explaining all the difficult topics so easily. He is just superb than any other professor in Queens college. Not only, queens, he can teach the whole world, what algorithm should be like."
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,"He's one of the few professors that can explain very well. He's willing to help you. Unfortunately I wasn't ready to take this course this semester. For those who have a strong background in data structures, I recommend him if you're not going to be taking a full load of CS300 level classes in one semester."
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,"He is a good prof, teaches well. But his exams are out of this world. Unless you give your more than 100% you won't pass the class. The entire class rides on just two exams. So you better do well on them. But if you wanna learn, he is the one."
2195317,Mayank Goswami,https://www.ratemyprofessors.com/professor/2195317,Unknown Course,,This is a probabilities heavy class. Goswami is great for lectures however his exams are unnecessarily difficult to the point where the class average is expected to be low. Didn't get back midterm grades until a week before the final. If you want to learn take him but don't expect a good grade.
